VRSTA SMJESTAJA,PODRUCJE,LOKACIJA,BROJ SPAVACIH SOBA,BROJ KUPATILA,CIJENA,STAMBENA POVRSINA,ZEMLJISTE,PARKING MJESTA,OD MORA,NOVOGRADNJA,KLIMA,NASLOV,OPIS,OGLASIO,MOBILNI,BROJ OGLASA,ZADNJA PROMJENA,SLIKE,URL
Prodajem Hotel,Bar,Šušanj,Nema Podataka,Nema Podataka,€330.000,558 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Šušanj","Prodaje se apart-hotel koji se nalazi u reonu Šušanj, Bar.",AMFORA REAL ESTATE,+38268284708,2249151,"21 Nov, 2020","https://www.realitica.com/images/listing_photos/2249151_--------2-1-2.-----.jpg,https://www.realitica.com/images/listing_photos/2249151_----------------2.-----.jpg,https://www.realitica.com/images/listing_photos/2249151_p1040285.jpg,https://www.realitica.com/images/listing_photos/2249151_11111111111.jpg",https://www.realitica.com/hr/listing/2249151
Prodajem Hotel,Bar,Šušanj,Nema Podataka,Nema Podataka,€1.529.000,956 m,855 m,20,59,Nema Podataka,Nema Podataka,"Prodajem Hotel, Šušanj","61 lezaj, 8 jednosobnih stanova po 45m2, 7 garsonjera po 35m2, sve sa kuhinjama i kupatilima. Hotel posjeduje lift, podrum i bazen za kupanje. Bez tereta i ogranicenja, kupujete direktno od vlasnika. Hotel se nalazi na Jadranskoj magistrali, na ulazu u Susanj, Bar.

",Gido,+38267884459,2431834,"29 Oct, 2020","https://www.realitica.com/images/listing_photos/2431834_img-9a793f6a342389eb3c48bc1d3b450ca2-v.jpg,https://www.realitica.com/images/listing_photos/2431834_img-ed38eece5e156512d32830e1bfb5e4bf-v.jpg,https://www.realitica.com/images/listing_photos/2431834_img-fa04047e9fa8388d32b1b34ce0fbecbe-v.jpg,https://www.realitica.com/images/listing_photos/2431834_img-b9e2d234d6bb8cff4525902481884113-v.jpg",https://www.realitica.com/hr/listing/2431834
Prodajem Hotel,Tivat,Tivat,12,12,€1.700.000,500 m,340 m,6,10,Nema Podataka,Nema Podataka,"Prodajem Hotel, Tivat","Na prodaju razradjen mini-hotel/vila u Tivtu, Kalimanj.",http://www.investmontenegro-co.com/...InvestMontenegro&CO,+38269366876,1667420,"15 Dec, 2020","https://www.realitica.com/images/listing_photos/1667420_image3.jpeg,https://www.realitica.com/images/listing_photos/1667420_img_7673-1-.jpg,https://www.realitica.com/images/listing_photos/1667420_image2.jpeg,https://www.realitica.com/images/listing_photos/1667420_img_e7855.jpg,/b_images/1667420_thumbnail_img_7651-1-.jpg,https://www.realitica.com/images/listing_photos/1667420_img_7680-1-.jpg",https://www.realitica.com/hr/listing/1667420
Prodajem Hotel,Herceg Novi,Herceg Novi,6,6,€600.000,Nema Podataka,Nema Podataka,Nema Podataka,"150
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Herceg Novi Đenovići",Izvrsna ponuda!,http://montenegro-life.me/?property...Svetlana,Nema Podataka,1877480,"21 Dec, 2020","https://www.realitica.com/images/listing_photos/1877480__dsc1781.jpg,https://www.realitica.com/images/listing_photos/1877480__dsc1882.jpg,https://www.realitica.com/images/listing_photos/1877480__dsc1791.jpg,https://www.realitica.com/images/listing_photos/1877480__dsc1773.jpg",https://www.realitica.com/hr/listing/1877480
Prodajem Hotel,Bar,Dobre Vode,12,12,€630.000,1.050 m,1.100 m,50,1000,Nema Podataka,Nema Podataka,"Prodajem Lux Hotel, Dobre Vode",,http://elitedom.meMarko,+38266147404,2437729,"6 Nov, 2020","https://www.realitica.com/images/listing_photos/2437729_img_7850.jpg,https://www.realitica.com/images/listing_photos/2437729_img_7876-1-.jpg,https://www.realitica.com/images/listing_photos/2437729_img_7904.jpg,https://www.realitica.com/images/listing_photos/2437729_img_7892-1-.jpg,https://www.realitica.com/images/listing_photos/2437729_img_7910.jpg,https://www.realitica.com/images/listing_photos/2437729_img_7908.jpg",https://www.realitica.com/hr/listing/2437729
Prodajem Hotel,Budva,Lazi,11,11,€580.000,435 m,423 m,3,900,Nema Podataka,Nema Podataka,"Prodajem Hotel, Lazi","Novi apart-hotel, оtvoren je 2015. godine. Idealan je za miran porodični odmor.                                             ",http://www.ds-club.meSergey,+38268561720,2470326,"11 Jan, 2021","https://www.realitica.com/images/listing_photos/2470326_img_6174-.jpg,https://www.realitica.com/images/listing_photos/2470326_img_9286--.jpg,https://www.realitica.com/images/listing_photos/2470326_img_6081-.jpg,https://www.realitica.com/images/listing_photos/2470326_img_5911.jpg,https://www.realitica.com/images/listing_photos/2470326_img_1341.jpg,https://www.realitica.com/images/listing_photos/2470326_img_7130.jpg",https://www.realitica.com/hr/listing/2470326
Prodajem Hotel,Bar,Bar,Nema Podataka,Nema Podataka,€1.530.000,955 m,855 m,20,"50
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Bar",luxury hotel in Montenegro! ,Janina,067221167,2475604,"28 Dec, 2020","https://www.realitica.com/images/listing_photos/2475604_nj.jpg,https://www.realitica.com/images/listing_photos/2475604_thumbnail--1-.jpg,https://www.realitica.com/images/listing_photos/2475604_lcc.jpg,https://www.realitica.com/images/listing_photos/2475604_l.jpg,https://www.realitica.com/images/listing_photos/2475604_oo.jpg",https://www.realitica.com/hr/listing/2475604
Prodajem Hotel,Šavnik,Centar,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Centar",Prodajem hotel u izgradnji u Šavniku. Postojeći objekat lociran je uz saobraćajnicu Žabljak – Šavnik – Nikšić koja prolazi kroz  Šavnik. ,Tomas,Nema Podataka,2466170,"15 Dec, 2020","https://www.realitica.com/images/listing_photos/2466170_image_000.jpg,https://www.realitica.com/images/listing_photos/2466170_img-772585c21a28633770971e17d68c3d6c-v.jpg,https://www.realitica.com/images/listing_photos/2466170_image_001.jpg,https://www.realitica.com/images/listing_photos/2466170_img-a5548d0107c9af72573ae4a5639f7041-v.jpg,https://www.realitica.com/images/listing_photos/2466170_image_007.jpg,https://www.realitica.com/images/listing_photos/2466170_img-a033a02c806cadd3c1d936782606cb73-v.jpg",https://www.realitica.com/hr/listing/2466170
Prodajem Hotel,Bar,Bar,7,7,€300.000,350 m,420 m,Nema Podataka,"300
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Bar",Mini hotel u Šušanju povrsine 350m2 na placu 420m2. ,Supernekretnine,Nema Podataka,2209440,"4 Dec, 2020",https://www.realitica.com/images/listing_photos/2209440_1189964_11201-b0333-1.jpg,https://www.realitica.com/hr/listing/2209440
Prodajem Hotel,Bar,Bar,8,8,€220.000,450 m,300 m,Nema Podataka,"300
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Bar","ima građevinska dozvola, placeni komunalij",Supernekretnine,Nema Podataka,1469646,"27 Nov, 2020","https://www.realitica.com/images/listing_photos/1469646_20170812162028567115221o.jpg,https://www.realitica.com/images/listing_photos/1469646_img_0458_proc-770x386.jpg,https://www.realitica.com/images/listing_photos/1469646_img_0462_proc.jpg,https://www.realitica.com/images/listing_photos/1469646_img_0425_proc-770x386.jpg",https://www.realitica.com/hr/listing/1469646
Prodajem Hotel,Bar,Šušanj,Nema Podataka,Nema Podataka,€150.000,450 m,300 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Šušanj",Prodaem hotel u izgradni. ,Supernekretnine,Nema Podataka,1752181,"16 Nov, 2020","https://www.realitica.com/images/listing_photos/1752181_img-2ce29b3505ef0bb98c85bb358edfaa31-v.jpg,https://www.realitica.com/images/listing_photos/1752181_img-35e61bb746dcd0c016753aaa8f4a0bf6-v.jpg,https://www.realitica.com/images/listing_photos/1752181_img-74735f2a209ad7f2e530be01a9c4904e-v.jpg",https://www.realitica.com/hr/listing/1752181
Prodajem Hotel,Bar,Utjeha,5,Nema Podataka,€520.000,650 m,235 m,Nema Podataka,"50
									",Nema Podataka,Nema Podataka,"Mini-hotel samo 50m udaljen od plaže, Utjeha",Površina objekta: 650m2 (stambena + garaža 391m2),https://barnekretnine.me/property/m...Bar Nekretnine,+382 69 348 793,1942273,"12 Jan, 2021",/c_images/1942273_1_10164-Utjeha-1-1.jpg,https://www.realitica.com/hr/listing/1942273
